STATE,Precision
Alabama,0.75
Alaska,0.0
Arizona,0.5238095238095238
Arkansas,0.0
California,0.34196891191709844
Colorado,0.2
Connecticut,1.0
District of Columbia,0.0
Florida,0.125
Florida ,0.0
Georgia,0.6296296296296297
Idaho,0.6666666666666666
Illinois,0.2857142857142857
Indiana,0.75
Iowa,1.0
Kansas,0.3333333333333333
Kentucky,0.0
Louisiana,0.0
Maine,0.5
Maryland,0.0
Massachusetts,0.7692307692307693
Michigan,0.5882352941176471
Minnesota,0.8571428571428571
Mississippi,0.0
Missouri,0.2222222222222222
Montana,0.5
Nevada,0.6
New Hampshire,0.0
New Jersey,0.47619047619047616
New Mexico,0.6666666666666666
New York,0.4
North Carolina,0.9
North Dakota,0.0
Ohio,0.9
Oklahoma,0.8
Oregon,1.0
Pennsylvania,0.5384615384615384
Rhode Island,0.0
South Carolina,1.0
South Dakota,0.0
Tennessee,1.0
Texas,0.7
Utah,0.0
Vermont,0.0
Virginia,0.14285714285714285
Washington,0.6
West Virginia,0.5
Wisconsin,1.0
Wyoming,0.5
